Temp , Taille , ex , num
(15:51:26.658) ,510452 ,  14 , 5934
(15:51:26.670) ,510538 ,  12 , 5935
(15:51:26.682) ,510624 ,  14 , 5936
(15:51:26.694) ,510710 ,  19 , 5937
(15:51:26.707) ,510796 ,  14 , 5938
(15:51:26.719) ,510882 ,  17 , 5939
(15:51:26.734) ,510968 ,  21 , 5940
(15:51:26.748) ,511054 ,  20 , 5941
(15:51:26.762) ,511140 ,  18 , 5942
(15:51:26.774) ,511226 ,  17 , 5943
(15:51:26.786) ,511312 ,  15 , 5944
(15:51:26.799) ,511398 ,   8 , 5945
(15:51:26.812) ,511484 ,  16 , 5946
(15:51:26.824) ,511570 ,  16 , 5947
(15:51:26.836) ,511656 ,  14 , 5948
(15:51:26.849) ,511742 ,  17 , 5949
(15:51:26.864) ,511828 ,  20 , 5950
(15:51:26.878) ,511914 ,  20 , 5951
(15:51:26.890) ,512000 ,  14 , 5952
(15:51:26.903) ,512086 ,  14 , 5953
(15:51:26.916) ,512172 ,   9 , 5954
(15:51:26.929) ,512258 ,  17 , 5955
(15:51:26.941) ,512344 ,  16 , 5956
(15:51:26.953) ,512430 ,  16 , 5957
(15:51:26.966) ,512516 ,  13 , 5958
(15:51:26.980) ,512602 ,  11 , 5959
(15:51:26.994) ,512688 ,  15 , 5960
(15:51:27.007) ,512774 ,  20 , 5961
(15:51:27.020) ,512860 ,  14 , 5962
(15:51:27.032) ,512946 ,  12 , 5963
(15:51:27.045) ,513032 ,  15 , 5964
(15:51:27.058) ,513118 ,  15 , 5965
(15:51:27.070) ,513204 ,  16 , 5966
(15:51:27.082) ,513290 ,  14 , 5967
(15:51:27.095) ,513376 ,  12 , 5968
(15:51:27.108) ,513462 ,  15 , 5969
(15:51:27.122) ,513548 ,  17 , 5970
(15:51:27.135) ,513634 ,  16 , 5971
(15:51:27.149) ,513720 ,  13 , 5972
(15:51:27.162) ,513806 ,  11 , 5973
(15:51:27.174) ,513892 ,  16 , 5974
(15:51:27.186) ,513978 ,  16 , 5975
(15:51:27.199) ,514064 ,  12 , 5976
(15:51:27.211) ,514150 ,  19 , 5977
(15:51:27.223) ,514236 ,  18 , 5978
(15:51:27.236) ,514322 ,  15 , 5979
(15:51:27.252) ,514408 ,  23 , 5980
(15:51:27.264) ,514494 ,  15 , 5981
(15:51:27.277) ,514580 ,  18 , 5982
(15:51:27.289) ,514666 ,  16 , 5983
(15:51:27.302) ,514752 ,  20 , 5984
(15:51:27.315) ,514838 ,  17 , 5985
(15:51:27.327) ,514924 ,  18 , 5986
(15:51:27.339) ,515010 ,  17 , 5987
(15:51:27.353) ,515096 ,  16 , 5988
(15:51:27.366) ,515182 ,   5 , 5989
(15:51:27.379) ,515268 ,  16 , 5990
(15:51:27.393) ,515354 ,  20 , 5991
(15:51:27.405) ,515440 ,  14 , 5992
(15:51:27.418) ,515526 ,  17 , 5993
(15:51:27.430) ,515612 ,  15 , 5994
(15:51:27.442) ,515698 ,  19 , 5995
(15:51:27.455) ,515784 ,  16 , 5996
(15:51:27.468) ,515870 ,  17 , 5997
(15:51:27.480) ,515956 ,  16 , 5998
(15:51:27.492) ,516042 ,  19 , 5999
(15:51:27.506) ,516128 ,  14 , 6000
(15:51:27.519) ,516214 ,  19 , 6001
(15:51:27.532) ,516300 ,  14 , 6002
(15:51:27.547) ,516386 ,  15 , 6003
(15:51:27.561) ,516472 ,  14 , 6004
(15:51:27.574) ,516558 ,  17 , 6005
(15:51:27.586) ,516644 ,  16 , 6006
(15:51:27.599) ,516730 ,  16 , 6007
(15:51:27.612) ,516816 ,  17 , 6008
(15:51:27.624) ,516902 ,  14 , 6009
(15:51:27.636) ,516988 ,  15 , 6010
(15:51:27.649) ,517074 ,  15 , 6011
(15:51:27.663) ,517160 ,  11 , 6012
(15:51:27.675) ,517246 ,  18 , 6013
(15:51:27.687) ,517332 ,  19 , 6014
(15:51:27.700) ,517418 ,  16 , 6015
(15:51:27.713) ,517504 ,  17 , 6016
(15:51:27.728) ,517590 ,  16 , 6017
(15:51:27.739) ,517676 ,  16 , 6018
(15:51:27.752) ,517762 ,  13 , 6019
(15:51:27.765) ,517848 ,  15 , 6020
(15:51:27.777) ,517934 ,  13 , 6021
(15:51:27.791) ,518020 ,  16 , 6022
(15:51:27.802) ,518106 ,  16 , 6023
(15:51:27.818) ,518192 ,  13 , 6024
(15:51:27.831) ,518278 ,  18 , 6025
(15:51:27.843) ,518364 ,  19 , 6026
(15:51:27.855) ,518450 ,  13 , 6027
(15:51:27.868) ,518536 ,  14 , 6028
(15:51:27.880) ,518622 ,  14 , 6029
(15:51:27.894) ,518708 ,  16 , 6030
(15:51:27.906) ,518794 ,  16 , 6031
(15:51:27.919) ,518880 ,  13 , 6032
(15:51:27.932) ,518966 ,  15 , 6033
(15:51:27.946) ,519052 ,  17 , 6034
(15:51:27.958) ,519138 ,  15 , 6035
(15:51:27.970) ,519224 ,  13 , 6036
(15:51:27.982) ,519310 ,  14 , 6037
(15:51:27.997) ,519396 ,  15 , 6038
(15:51:28.013) ,519482 ,  13 , 6039
(15:51:28.025) ,519568 ,  17 , 6040
(15:51:28.039) ,519654 ,  12 , 6041
(15:51:28.052) ,519740 ,  16 , 6042
(15:51:28.065) ,519826 ,  15 , 6043
(15:51:28.078) ,519912 ,   7 , 6044
(15:51:28.089) ,519998 ,  17 , 6045
(15:51:28.102) ,520084 ,  23 , 6046
(15:51:28.116) ,520170 ,  13 , 6047
(15:51:28.128) ,520256 ,  16 , 6048
(15:51:28.141) ,520342 ,  15 , 6049
(15:51:28.153) ,520428 ,  17 , 6050
(15:51:28.166) ,520514 ,  12 , 6051
(15:51:28.179) ,520600 ,  16 , 6052
(15:51:28.196) ,520686 ,  19 , 6053
(15:51:28.208) ,520772 ,  15 , 6054
(15:51:28.220) ,520858 ,  15 , 6055
(15:51:28.233) ,520944 ,  10 , 6056
(15:51:28.246) ,521030 ,  15 , 6057
(15:51:28.260) ,521116 ,  17 , 6058
(15:51:28.273) ,521202 ,  14 , 6059
(15:51:28.286) ,521288 ,  13 , 6060
(15:51:28.300) ,521374 ,  14 , 6061
(15:51:28.313) ,521460 ,  19 , 6062
(15:51:28.326) ,521546 ,  14 , 6063
(15:51:28.339) ,521632 ,  17 , 6064
(15:51:28.353) ,521718 ,  12 , 6065
(15:51:28.367) ,521804 ,  15 , 6066
(15:51:28.380) ,521890 ,  14 , 6067
(15:51:28.392) ,521976 ,  18 , 6068
(15:51:28.405) ,522062 ,  14 , 6069
(15:51:28.418) ,522148 ,  13 , 6070
(15:51:28.431) ,522234 ,  17 , 6071
(15:51:28.443) ,522320 ,  21 , 6072
(15:51:28.456) ,522406 ,  16 , 6073
(15:51:28.470) ,522492 ,  21 , 6074
(15:51:28.483) ,522578 ,  17 , 6075
(15:51:28.497) ,522664 ,  22 , 6076
(15:51:28.509) ,522750 ,  21 , 6077
(15:51:28.522) ,522836 ,  21 , 6078
(15:51:28.537) ,522922 ,  13 , 6079
(15:51:28.551) ,523008 ,  14 , 6080
(15:51:28.564) ,523094 ,  22 , 6081
(15:51:28.576) ,523180 ,  17 , 6082
(15:51:28.589) ,523266 ,  14 , 6083
(15:51:28.602) ,523352 ,  14 , 6084
(15:51:28.616) ,523438 ,  22 , 6085
(15:51:28.630) ,523524 ,  17 , 6086
(15:51:28.643) ,523610 ,  17 , 6087
(15:51:28.655) ,523696 ,  15 , 6088
(15:51:28.669) ,523782 ,  14 , 6089
(15:51:28.682) ,523868 ,  17 , 6090
(15:51:28.695) ,523954 ,  18 , 6091
(15:51:28.709) ,524040 ,  19 , 6092
(15:51:28.722) ,524126 ,  16 , 6093
